2025-03-20 18:44:21,673 - INFO - SVDT2 Time: 31/08/2023 23:59:00, Station: SVDT2, pH: 8.5, DO: 3.8, Temperature: 27.4, Salinity: 115.9
2025-03-20 18:44:21,674 - INFO - SVDT2 Time: 31/08/2023 23:58:00, Station: SVDT2, pH: 8.5, DO: 3.8, Temperature: 27.4, Salinity: 115.7
2025-03-20 18:44:22,045 - INFO - SVDT2 Time: 31/08/2023 23:57:00, Station: SVDT2, pH: 8.5, DO: 3.8, Temperature: 27.4, Salinity: 115.7
2025-03-20 18:44:22,554 - INFO - SVDT2 Time: 31/08/2023 23:56:00, Station: SVDT2, pH: 8.5, DO: 3.8, Temperature: 27.4, Salinity: 115.4
2025-03-20 18:44:23,060 - INFO - SVDT2 Time: 31/08/2023 23:55:00, Station: SVDT2, pH: 8.5, DO: 3.8, Temperature: 27.4, Salinity: 115.7
2025-03-20 18:44:23,571 - INFO - SVDT2 Time: 31/08/2023 23:54:00, Station: SVDT2, pH: 8.5, DO: 3.8, Temperature: 27.4, Salinity: 115.9
2025-03-20 18:44:24,079 - INFO - SVDT2 Time: 31/08/2023 23:53:00, Station: SVDT2, pH: 8.5, DO: 3.8, Temperature: 27.5, Salinity: 115.5
2025-03-20 18:44:24,586 - INFO - SVDT2 Time: 31/08/2023 23:52:00, Station: SVDT2, pH: 8.5, DO: 3.8, Temperature: 27.5, Salinity: 115.6
2025-03-20 18:44:25,095 - INFO - SVDT2 Time: 31/08/2023 23:51:00, Station: SVDT2, pH: 8.5, DO: 3.8, Temperature: 27.5, Salinity: 115.8
2025-03-20 18:44:25,600 - INFO - SVDT2 Time: 31/08/2023 23:50:00, Station: SVDT2, pH: 8.5, DO: 3.8, Temperature: 27.5, Salinity: 116.0
2025-03-20 18:44:26,110 - INFO - SVDT2 Time: 31/08/2023 23:49:00, Station: SVDT2, pH: 8.5, DO: 3.8, Temperature: 27.5, Salinity: 115.9
2025-03-20 18:44:26,621 - INFO - SVDT2 Time: 31/08/2023 23:48:00, Station: SVDT2, pH: 8.5, DO: 3.8, Temperature: 27.5, Salinity: 115.6
2025-03-20 18:44:27,131 - INFO - SVDT2 Time: 31/08/2023 23:47:00, Station: SVDT2, pH: 8.5, DO: 3.8, Temperature: 27.5, Salinity: 115.7
2025-03-20 18:44:27,639 - INFO - SVDT2 Time: 31/08/2023 23:46:00, Station: SVDT2, pH: 8.5, DO: 3.8, Temperature: 27.5, Salinity: 115.9
2025-03-20 18:44:28,145 - INFO - SVDT2 Time: 31/08/2023 23:45:00, Station: SVDT2, pH: 8.5, DO: 3.8, Temperature: 27.5, Salinity: 115.9
2025-03-20 18:44:28,655 - INFO - SVDT2 Time: 31/08/2023 23:44:00, Station: SVDT2, pH: 8.5, DO: 3.8, Temperature: 27.5, Salinity: 115.9
2025-03-20 18:44:29,165 - INFO - SVDT2 Time: 31/08/2023 23:43:00, Station: SVDT2, pH: 8.5, DO: 3.8, Temperature: 27.5, Salinity: 115.8
2025-03-20 18:44:29,677 - INFO - SVDT2 Time: 31/08/2023 23:42:00, Station: SVDT2, pH: 8.5, DO: 3.8, Temperature: 27.5, Salinity: 115.9
2025-03-20 18:44:30,185 - INFO - SVDT2 Time: 31/08/2023 23:41:00, Station: SVDT2, pH: 8.5, DO: 3.8, Temperature: 27.5, Salinity: 115.7
2025-03-20 18:44:30,690 - INFO - SVDT2 Time: 31/08/2023 23:40:00, Station: SVDT2, pH: 8.5, DO: 3.8, Temperature: 27.5, Salinity: 115.6
